投資組合截至,"2014/12/30"
 
股票代號,成分股名稱,比重(%),上市交易所代號,SEDOL,市場價格,市值,A股股份數目,A股連接產品連接的股份數目,行業
"601818","光大銀行","1.60","XSHG","B53SCQ5","6.13","1,396,349,210","18,637,100.00","209,049,373.00","金融"
"000776","廣發證券","1.59","XSHE","6107176","32.62","1,382,326,508","5,739,633.00","36,643,278.00","金融"
"600104","上海汽車","1.42","XSHG","6086974","26.42","1,238,851,217","6,364,258.00","40,528,075.00","消費品"
"601989","中國重工","1.38","XSHG","B4X9DB3","11.29","1,205,427,705","14,616,869.00","92,153,832.00","工業"
"601390","中國中鐵","1.37","XSHG","B292YZ3","11.72","1,190,729,125","16,912,830.00","84,679,300.00","工業"
"000333","美的集團","1.33","XSHE","BDVHRJ8","34.01","1,156,948,845","4,076,362.00","29,942,544.00","消費品"
"601857","中國石油","1.23","XSHG","B28SLD9","13.24","1,075,543,514","9,320,781.00","71,906,219.00","石油與天然氣"
"600050","中國聯通","1.21","XSHG","6547998","6.13","1,053,087,722","23,210,000.00","148,504,807.00","電訊服務"
"600028","中國石化","1.17","XSHG","6373728","7.93","1,021,531,081","11,379,800.00","117,405,387.00","石油與天然氣"
"600999","招商銀行","1.17","XSHG","B59QNS2","35.44","1,019,524,102","4,789,045.00","23,977,900.00","金融"
"601088","中國神華能源","1.15","XSHG","B281JM3","25.09","1,005,512,231","5,501,120.00","34,577,326.00","原材料"
"601186","中國鐵建","1.15","XSHG","B2PPPG4","19.74","997,796,901","4,883,458.00","45,659,816.00","工業"
"600585","海螺水泥","1.12","XSHG","6441595","27.51","971,650,085","3,238,187.00","32,083,285.00","工業"
"600015","華夏銀行","1.11","XSHG","6683438","16.87","967,679,338","7,782,494.00","49,595,075.00","金融"
"600900","長江電力","1.10","XSHG","6711630","12.98","960,765,161","7,073,539.00","66,973,201.00","公用事業"
"601988","中國銀行","0.87","XSHG","B180B49","4.99","758,483,167","19,366,625.00","132,561,693.00","金融"
"600019","寶鋼股份","0.72","XSHG","6307954","8.67","630,955,001","9,928,741.00","62,871,193.00","原材料"
"000725","京東方","0.69","XSHE","6314697","4.18","599,868,678","14,321,300.00","129,138,821.00","工業"
"601998","中信銀行","0.68","XSHG","B1VXHG9","10.15","595,745,432","8,297,586.00","50,399,570.00","金融"
"601336","新華保險","0.68","XSHG","B75FVJ4","62.71","594,351,558","1,221,190.00","8,256,766.00","金融"
"002415","海康威視","0.68","XSHE","B450X03","28.10","591,953,725","2,874,131.00","18,188,614.00","工業"
"601766","中國南車","0.61","XSHG","B3CPT84","7.35","527,485,140","7,018,000.00","64,756,623.00","工業"
"600011","華能國際","0.49","XSHG","6422136","10.85","426,958,881","5,081,095.00","34,283,055.00","公用事業"
"601800","中國交建","0.49","XSHG","B6Y7DS7","17.73","423,077,354","1,878,200.00","21,988,409.00","工業"
"002594","比亞迪","0.46","XSHE","B466322","48.23","396,478,447","734,653.00","7,486,629.00","消費品"
"600018","上港集團","0.42","XSHG","B1G9126","8.01","365,339,928","3,417,955.00","42,203,460.00","工業"
"601633","長城汽車","0.39","XSHG","B3WXMX4","52.27","336,082,010","591,248.00","5,838,738.00","消費品"
"601808","中海油服","0.35","XSHG","B24G115","25.57","304,839,375","951,651.00","10,970,061.00","石油與天然氣"
"600485","BEIJING ZHONGCHUANG TELECOM TEST L","0.14","XSHG","6674506","54.93","126,063,382","382,031.00","1,913,000.00","資訊科技"
 
"重要資料: 投資涉及風險, 包括可能損失本金的風險。投資者應參閱基金章程以獲取詳細資料，包括產品特性及風險因素。 過往數據不可作為未來表現的指引。鑒於四捨五入的原因，持有列表所示的分配總和未必等於100%。本文件僅供參考用途，並不構成要約或邀請任何人士投資於任何貝萊德基金，亦非因任何有關要約而擬備。"
