排名,代码,简称,收盘（元）,权数（%）,涨跌,涨跌幅（%）,指数贡献点,成交量（万股）,成交额（万元）,总股本（亿股）,流通股本,总市值,流通市值,证监会行业,wind行业
24,601766.SH,中国南车,33.96 ,0.82 ,3.09 ,10.01 ,3.31 ,"49,658.07 ","1,588,006.38 ",138.03 ,38.90 ,"4,687.50 ","1,320.91 ",铁路、船舶、航空航天和其他运输设备制造业,工业
25,000166.SZ,申万宏源,18.39 ,0.79 ,-0.63 ,-3.31 ,-1.05 ,"19,111.51 ","353,746.84 ",148.57 ,32.55 ,"2,732.16 ",598.54 ,资本市场服务,金融
26,600048.SH,保利地产,13.27 ,0.76 ,-0.56 ,-4.05 ,-1.24 ,"36,971.86 ","492,421.07 ",107.34 ,60.11 ,"1,424.37 ",797.61 ,房地产业,金融
27,600999.SH,招商证券,36.31 ,0.76 ,-1.52 ,-4.02 ,-1.23 ,"11,046.83 ","402,862.64 ",58.08 ,17.92 ,"2,108.93 ",650.53 ,资本市场服务,金融
28,601299.SH,中国北车,35.39 ,0.76 ,3.22 ,10.01 ,3.07 ,"36,151.06 ","1,204,205.96 ",122.60 ,34.26 ,"4,338.74 ","1,212.44 ",铁路、船舶、航空航天和其他运输设备制造业,工业
29,601989.SH,中国重工,14.08 ,0.76 ,-0.10 ,-0.71 ,-0.22 ,"105,853.19 ","1,487,653.90 ",183.62 ,86.85 ,"2,585.32 ","1,222.84 ",铁路、船舶、航空航天和其他运输设备制造业,工业
30,000333.SZ,美的集团,36.20 ,0.71 ,-0.33 ,-0.90 ,-0.26 ,"3,380.82 ","122,616.02 ",42.16 ,19.38 ,"1,526.12 ",701.64 ,电气机械和器材制造业,可选消费
31,601169.SH,北京银行,11.93 ,0.71 ,-0.31 ,-2.53 ,-0.73 ,"21,180.71 ","253,193.06 ",105.60 ,76.50 ,"1,259.83 ",912.66 ,货币金融服务,金融
32,601006.SH,大秦铁路,13.38 ,0.67 ,-0.31 ,-2.26 ,-0.61 ,"23,194.25 ","308,428.81 ",148.67 ,56.95 ,"1,989.18 ",761.95 ,铁路运输业,工业
33,601628.SH,中国人寿,37.79 ,0.63 ,-1.27 ,-3.25 ,-0.83 ,"11,713.47 ","442,607.74 ",282.65 ,15.00 ,"10,681.23 ",566.85 ,保险业,金融
34,601939.SH,建设银行,6.71 ,0.60 ,-0.19 ,-2.75 ,-0.67 ,"39,355.08 ","264,795.31 ","2,500.11 ",90.23 ,"16,775.74 ",605.42 ,货币金融服务,金融
35,002024.SZ,苏宁云商,13.69 ,0.59 ,-0.47 ,-3.32 ,-0.79 ,"34,568.31 ","482,482.64 ",73.83 ,38.32 ,"1,010.74 ",524.56 ,零售业,可选消费
36,600015.SH,华夏银行,16.12 ,0.59 ,-0.52 ,-3.13 ,-0.74 ,"16,603.10 ","270,009.25 ",89.05 ,36.95 ,"1,435.43 ",595.65 ,货币金融服务,金融
37,601186.SH,中国铁建,23.59 ,0.59 ,0.73 ,3.19 ,0.76 ,"31,833.13 ","739,126.06 ",123.38 ,26.95 ,"2,910.43 ",635.75 ,土木工程建筑业,工业
38,601377.SH,兴业证券,17.78 ,0.59 ,-0.77 ,-4.15 ,-0.99 ,"23,076.73 ","414,308.28 ",52.00 ,36.42 ,924.56 ,647.55 ,资本市场服务,金融
39,601901.SH,方正证券,15.63 ,0.59 ,-0.58 ,-3.58 ,-0.85 ,"20,559.73 ","322,982.51 ",82.32 ,38.15 ,"1,286.68 ",596.34 ,资本市场服务,金融
40,601857.SH,中国石油,13.32 ,0.58 ,-0.02 ,-0.15 ,-0.04 ,"51,325.00 ","691,677.01 ","1,830.21 ",38.88 ,"24,378.39 ",517.93 ,石油和天然气开采业,能源
41,600570.SH,恒生电子,121.48 ,0.55 ,-2.64 ,-2.13 ,-0.47 ,"2,154.93 ","258,494.29 ",6.18 ,4.76 ,750.51 ,578.71 ,软件和信息技术服务业,信息技术
42,600900.SH,长江电力,12.60 ,0.55 ,-0.36 ,-2.78 ,-0.62 ,"12,661.18 ","159,416.26 ",165.00 ,43.44 ,"2,079.00 ",547.35 ,电力、热力生产和供应业,公用事业
43,000783.SZ,长江证券,18.92 ,0.54 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,47.42 ,32.87 ,897.27 ,621.83 ,资本市场服务,金融
44,000100.SZ,TCL集团,6.54 ,0.52 ,0.01 ,0.15 ,0.03 ,"63,636.85 ","416,765.14 ",122.03 ,72.18 ,798.06 ,472.09 ,计算机、通信和其他电子设备制造业,可选消费
45,600109.SH,国金证券,25.31 ,0.52 ,-0.91 ,-3.47 ,-0.73 ,"12,474.05 ","316,782.18 ",28.37 ,17.36 ,718.01 ,439.46 ,资本市场服务,金融
46,600383.SH,金地集团,12.12 ,0.52 ,-0.29 ,-2.34 ,-0.49 ,"7,115.74 ","86,283.97 ",44.91 ,18.94 ,544.37 ,229.60 ,房地产业,金融
47,600010.SH,包钢股份,7.16 ,0.49 ,-0.12 ,-1.65 ,-0.33 ,"76,876.79 ","554,966.45 ",160.05 ,78.80 ,"1,145.97 ",564.21 ,黑色金属冶炼和压延加工业,材料
48,600518.SH,康美药业,36.10 ,0.49 ,0.52 ,1.46 ,0.29 ,"6,910.16 ","249,272.14 ",21.99 ,13.54 ,793.74 ,488.85 ,医药制造业,医疗保健
49,600050.SH,中国联通,9.08 ,0.48 ,0.29 ,3.30 ,0.64 ,"172,166.79 ","1,603,332.92 ",211.97 ,78.23 ,"1,924.65 ",710.32 ,电信、广播电视和卫星传输服务,电信服务
50,000625.SZ,长安汽车,24.55 ,0.47 ,2.23 ,9.99 ,1.89 ,382.96 ,"9,401.56 ",46.63 ,19.37 ,"1,144.74 ",475.60 ,汽车制造业,可选消费
51,600585.SH,海螺水泥,24.73 ,0.47 ,-0.89 ,-3.47 ,-0.66 ,"9,818.93 ","244,306.33 ",52.99 ,17.64 ,"1,310.52 ",436.27 ,非金属矿物制品业,材料
52,000858.SZ,五粮液,26.89 ,0.45 ,-0.92 ,-3.31 ,-0.60 ,"8,892.22 ","239,655.91 ",37.96 ,16.67 ,"1,020.74 ",448.32 ,酒、饮料和精制茶制造业,日常消费
53,601336.SH,新华保险,52.96 ,0.45 ,-2.19 ,-3.97 ,-0.72 ,"3,966.72 ","210,515.05 ",31.20 ,6.37 ,"1,652.11 ",337.19 ,保险业,金融
54,000063.SZ,中兴通讯,28.77 ,0.44 ,-0.51 ,-1.74 ,-0.31 ,"14,873.38 ","436,161.83 ",34.38 ,17.43 ,988.98 ,501.46 ,计算机、通信和其他电子设备制造业,信息技术
55,000725.SZ,京东方A,4.61 ,0.42 ,-0.15 ,-3.15 ,-0.53 ,"232,747.58 ","1,075,330.14 ",352.90 ,224.92 ,"1,626.85 ","1,036.90 ",计算机、通信和其他电子设备制造业,信息技术
56,600028.SH,中国石化,7.78 ,0.42 ,0.20 ,2.64 ,0.45 ,"130,011.45 ","1,013,457.43 ","1,210.71 ",98.37 ,"9,419.34 ",765.33 ,石油和天然气开采业,能源
57,600795.SH,国电电力,6.02 ,0.42 ,-0.08 ,-1.31 ,-0.22 ,"106,528.13 ","644,074.88 ",196.50 ,96.99 ,"1,182.95 ",583.90 ,电力、热力生产和供应业,公用事业
58,601088.SH,中国神华,22.81 ,0.41 ,-0.81 ,-3.43 ,-0.57 ,"13,911.59 ","321,360.29 ",198.90 ,19.69 ,"4,536.82 ",449.17 ,煤炭开采和洗选业,能源
59,600111.SH,北方稀土,34.04 ,0.40 ,1.03 ,3.12 ,0.50 ,"26,992.93 ","914,783.10 ",24.22 ,12.51 ,824.46 ,425.70 ,有色金属冶炼和压延加工业,材料
60,600690.SH,青岛海尔,27.69 ,0.40 ,-0.63 ,-2.22 ,-0.36 ,"5,671.18 ","157,772.75 ",30.46 ,14.91 ,843.47 ,412.83 ,电气机械和器材制造业,可选消费
61,002415.SZ,海康威视,32.60 ,0.38 ,-0.77 ,-2.31 ,-0.35 ,"4,604.26 ","150,071.59 ",40.69 ,11.83 ,"1,326.54 ",385.77 ,计算机、通信和其他电子设备制造业,可选消费
62,600089.SH,特变电工,18.10 ,0.38 ,-0.60 ,-3.21 ,-0.49 ,"20,872.11 ","377,057.96 ",32.40 ,25.69 ,586.46 ,464.93 ,电气机械和器材制造业,工业
63,600886.SH,国投电力,12.48 ,0.38 ,-0.51 ,-3.93 ,-0.60 ,"32,913.84 ","413,499.19 ",67.86 ,33.08 ,846.90 ,412.78 ,电力、热力生产和供应业,公用事业
64,000768.SZ,中航飞机,31.00 ,0.37 ,1.29 ,4.34 ,0.65 ,"13,424.80 ","419,475.61 ",26.54 ,10.64 ,822.69 ,329.75 ,铁路、船舶、航空航天和其他运输设备制造业,工业
65,600705.SH,中航资本,28.02 ,0.37 ,2.55 ,10.01 ,1.49 ,"17,775.68 ","486,771.96 ",37.33 ,21.77 ,"1,045.90 ",610.01 ,其他金融业,金融
66,600804.SH,鹏博士,32.57 ,0.37 ,-0.12 ,-0.37 ,-0.06 ,"6,218.47 ","202,508.37 ",13.91 ,10.75 ,453.10 ,350.03 ,互联网和相关服务,电信服务
67,000069.SZ,华侨城A,10.18 ,0.36 ,-0.29 ,-2.77 ,-0.40 ,"15,236.80 ","155,575.39 ",72.71 ,31.12 ,740.22 ,316.85 ,公共设施管理业,可选消费
68,000538.SZ,云南白药,72.08 ,0.36 ,-1.55 ,-2.11 ,-0.31 ,"1,224.98 ","88,579.22 ",10.41 ,3.83 ,750.64 ,276.14 ,医药制造业,医疗保健
69,600011.SH,华能国际,10.96 ,0.36 ,0.25 ,2.33 ,0.34 ,"17,755.32 ","193,579.53 ",144.20 ,38.72 ,"1,580.47 ",424.37 ,电力、热力生产和供应业,公用事业
70,600019.SH,宝钢股份,8.41 ,0.36 ,-0.38 ,-4.32 ,-0.63 ,"27,425.68 ","233,172.55 ",164.71 ,32.95 ,"1,385.21 ",277.15 ,黑色金属冶炼和压延加工业,材料
71,600276.SH,恒瑞医药,56.96 ,0.36 ,-0.56 ,-0.97 ,-0.14 ,"1,331.20 ","75,448.34 ",15.05 ,7.78 ,857.26 ,443.31 ,医药制造业,医疗保健
72,600415.SH,小商品城,25.86 ,0.36 ,-1.09 ,-4.04 ,-0.58 ,"5,701.01 ","147,728.74 ",27.22 ,12.03 ,703.81 ,310.97 ,商务服务业,可选消费
73,000024.SZ,招商地产,31.96 ,0.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,25.76 ,10.26 ,823.27 ,328.05 ,房地产业,金融
74,600739.SH,辽宁成大,28.20 ,0.35 ,0.18 ,0.64 ,0.09 ,"5,554.09 ","153,675.17 ",15.30 ,11.95 ,431.38 ,336.94 ,批发业,可选消费
75,601899.SH,紫金矿业,5.24 ,0.35 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,215.73 ,80.51 ,"1,130.42 ",421.86 ,有色金属矿采选业,材料
76,000338.SZ,潍柴动力,33.63 ,0.34 ,-0.95 ,-2.75 ,-0.38 ,"5,193.79 ","175,143.18 ",19.99 ,10.46 ,672.37 ,351.80 ,汽车制造业,工业
77,000503.SZ,海虹控股,46.03 ,0.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,8.99 ,6.50 ,413.73 ,299.32 ,互联网和相关服务,信息技术
78,000728.SZ,国元证券,37.16 ,0.34 ,-1.48 ,-3.83 ,-0.52 ,"7,098.30 ","265,550.44 ",19.64 ,9.74 ,729.86 ,361.83 ,资本市场服务,金融
79,600352.SH,浙江龙盛,29.04 ,0.34 ,-0.64 ,-2.16 ,-0.29 ,"5,091.53 ","147,814.35 ",16.27 ,12.01 ,472.38 ,348.68 ,化学原料和化学制品制造业,材料
80,600637.SH,百视通,77.23 ,0.34 ,7.02 ,10.00 ,1.37 ,"11,687.99 ","880,590.51 ",11.14 ,6.47 ,860.14 ,499.56 ,电信、广播电视和卫星传输服务,可选消费
81,000157.SZ,中联重科,8.06 ,0.33 ,-0.21 ,-2.54 ,-0.34 ,"27,910.52 ","225,247.02 ",77.06 ,44.58 ,621.10 ,359.30 ,专用设备制造业,工业
82,002081.SZ,金螳螂,32.65 ,0.32 ,-0.85 ,-2.54 ,-0.33 ,"1,695.17 ","55,883.49 ",17.62 ,8.20 ,575.36 ,267.85 ,建筑装饰和其他建筑业,工业
83,600031.SH,三一重工,11.24 ,0.32 ,-0.31 ,-2.68 ,-0.35 ,"26,580.87 ","298,461.94 ",76.17 ,32.99 ,856.10 ,370.79 ,专用设备制造业,工业
84,600150.SH,中国船舶,54.63 ,0.32 ,0.07 ,0.13 ,0.02 ,"4,804.24 ","263,138.67 ",13.78 ,6.06 ,752.87 ,330.80 ,铁路、船舶、航空航天和其他运输设备制造业,工业
85,601555.SH,东吴证券,26.56 ,0.32 ,-1.00 ,-3.63 ,-0.47 ,"8,565.17 ","228,296.73 ",27.00 ,13.31 ,717.12 ,353.52 ,资本市场服务,金融
86,600256.SH,广汇能源,10.99 ,0.31 ,-0.12 ,-1.08 ,-0.13 ,"22,071.23 ","242,429.69 ",52.21 ,28.64 ,573.83 ,314.75 ,石油和天然气开采业,能源
87,600406.SH,国电南瑞,23.82 ,0.31 ,-0.32 ,-1.33 ,-0.17 ,"9,438.36 ","225,237.63 ",24.29 ,13.84 ,578.58 ,329.72 ,软件和信息技术服务业,工业
88,600535.SH,天士力,50.08 ,0.31 ,1.02 ,2.08 ,0.26 ,"1,906.21 ","95,126.41 ",10.80 ,5.45 ,541.10 ,272.76 ,医药制造业,医疗保健
89,002202.SZ,金风科技,20.62 ,0.30 ,-0.53 ,-2.51 ,-0.30 ,"7,903.08 ","162,928.24 ",26.95 ,14.83 ,555.62 ,305.83 ,通用设备制造业,工业
90,002230.SZ,科大讯飞,45.27 ,0.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.12 ,7.96 ,548.57 ,360.47 ,软件和信息技术服务业,信息技术
91,002450.SZ,康得新,48.33 ,0.30 ,1.93 ,4.16 ,0.50 ,"3,676.86 ","175,479.63 ",9.52 ,7.84 ,460.29 ,378.92 ,橡胶和塑料制品业,材料
92,600100.SH,同方股份,19.97 ,0.30 ,1.81 ,9.97 ,1.21 ,"18,662.55 ","355,786.55 ",29.64 ,15.95 ,591.89 ,318.61 ,计算机、通信和其他电子设备制造业,信息技术
93,600177.SH,雅戈尔,21.44 ,0.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,22.27 ,14.56 ,477.39 ,312.12 ,纺织服装、服饰业,可选消费
94,600340.SH,华夏幸福,61.68 ,0.30 ,2.21 ,3.72 ,0.45 ,"2,108.91 ","128,222.04 ",13.23 ,4.01 ,815.95 ,247.60 ,房地产业,金融
95,000402.SZ,金融街,12.71 ,0.29 ,-0.42 ,-3.20 ,-0.37 ,"9,500.36 ","121,003.37 ",29.89 ,21.14 ,379.89 ,268.68 ,房地产业,金融
96,600196.SH,复星医药,28.12 ,0.29 ,-0.01 ,-0.04 ,0.00 ,"3,661.07 ","102,953.80 ",23.11 ,9.85 ,649.96 ,276.97 ,医药制造业,医疗保健
97,601669.SH,中国电建,12.49 ,0.29 ,1.14 ,10.04 ,1.17 ,664.36 ,"8,297.81 ",96.00 ,31.27 ,"1,199.04 ",390.59 ,土木工程建筑业,工业
98,300024.SZ,机器人,60.00 ,0.28 ,-0.49 ,-0.81 ,-0.09 ,"4,678.69 ","285,129.04 ",6.55 ,4.55 ,392.91 ,272.96 ,通用设备制造业,工业
99,300027.SZ,华谊兄弟,34.63 ,0.28 ,-1.01 ,-2.83 ,-0.32 ,"4,709.45 ","163,343.35 ",12.43 ,7.71 ,430.29 ,267.12 ,广播、电视、电影和影视录音制作业,可选消费
100,600029.SH,南方航空,10.83 ,0.28 ,0.29 ,2.75 ,0.31 ,"31,621.65 ","334,360.98 ",98.18 ,28.14 ,"1,063.24 ",304.76 ,航空运输业,工业
101,600271.SH,航天信息,53.08 ,0.28 ,-1.93 ,-3.51 ,-0.40 ,"1,752.80 ","93,579.83 ",9.23 ,4.96 ,490.14 ,263.29 ,计算机、通信和其他电子设备制造业,信息技术
102,601618.SH,中国中冶,8.94 ,0.28 ,0.32 ,3.71 ,0.42 ,"82,260.64 ","704,904.94 ",191.10 ,39.74 ,"1,708.43 ",355.27 ,土木工程建筑业,工业
103,000623.SZ,吉林敖东,39.45 ,0.27 ,-0.97 ,-2.40 ,-0.26 ,"4,088.80 ","160,262.37 ",8.94 ,6.77 ,352.86 ,267.09 ,医药制造业,医疗保健
104,002304.SZ,洋河股份,96.62 ,0.27 ,-1.48 ,-1.51 ,-0.17 ,503.89 ,"48,682.73 ",10.76 ,2.46 ,"1,040.04 ",237.97 ,酒、饮料和精制茶制造业,日常消费
105,600066.SH,宇通客车,32.26 ,0.27 ,-0.72 ,-2.18 ,-0.24 ,"2,117.61 ","68,368.01 ",14.77 ,8.45 ,476.59 ,272.49 ,汽车制造业,可选消费
106,600309.SH,万华化学,26.40 ,0.27 ,-0.38 ,-1.42 ,-0.15 ,"3,795.45 ","99,257.86 ",21.62 ,10.70 ,570.86 ,282.60 ,化学原料和化学制品制造业,材料
107,600588.SH,用友网络,48.13 ,0.27 ,3.11 ,6.91 ,0.75 ,"6,503.56 ","305,568.42 ",11.71 ,5.26 ,563.80 ,253.17 ,软件和信息技术服务业,信息技术
108,600832.SH,东方明珠,25.50 ,0.27 ,2.32 ,10.01 ,1.09 ,"27,896.54 ","700,208.20 ",31.86 ,14.24 ,812.52 ,363.00 ,公共设施管理业,工业
109,601009.SH,南京银行,16.33 ,0.27 ,-0.54 ,-3.20 ,-0.35 ,"8,679.86 ","142,260.51 ",29.69 ,18.58 ,484.83 ,303.47 ,货币金融服务,金融
110,601800.SH,中国交建,22.05 ,0.27 ,0.61 ,2.85 ,0.31 ,"20,453.39 ","446,033.89 ",161.75 ,14.22 ,"3,566.53 ",313.62 ,土木工程建筑业,工业
111,002241.SZ,歌尔声学,34.99 ,0.26 ,1.51 ,4.51 ,0.47 ,"6,425.71 ","223,434.72 ",15.26 ,7.01 ,534.10 ,245.43 ,计算机、通信和其他电子设备制造业,信息技术
112,600221.SH,海南航空,6.09 ,0.26 ,0.05 ,0.83 ,0.09 ,"54,215.46 ","327,843.48 ",121.82 ,64.04 ,741.89 ,389.97 ,航空运输业,工业
113,600703.SH,三安光电,23.51 ,0.26 ,-0.37 ,-1.55 ,-0.16 ,"8,710.90 ","207,533.49 ",23.93 ,12.44 ,562.61 ,292.36 ,计算机、通信和其他电子设备制造业,信息技术
114,000686.SZ,东北证券,25.80 ,0.25 ,-0.87 ,-3.26 ,-0.33 ,"9,818.65 ","253,919.78 ",19.57 ,11.29 ,504.95 ,291.24 ,资本市场服务,金融
115,000895.SZ,双汇发展,39.86 ,0.25 ,-0.86 ,-2.11 ,-0.21 ,"2,032.38 ","80,960.79 ",22.01 ,5.88 ,877.15 ,234.38 ,农副食品加工业,日常消费
116,002594.SZ,比亚迪,62.98 ,0.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,24.76 ,4.63 ,"1,559.38 ",291.60 ,汽车制造业,可选消费
117,600153.SH,建发股份,16.07 ,0.25 ,-0.45 ,-2.72 ,-0.27 ,"8,245.98 ","132,815.13 ",28.35 ,15.49 ,455.62 ,248.94 ,批发业,工业
118,600369.SH,西南证券,26.41 ,0.25 ,0.54 ,2.09 ,0.21 ,"9,301.17 ","238,702.15 ",28.23 ,9.68 ,745.44 ,255.56 ,资本市场服务,金融
119,600674.SH,川投能源,26.22 ,0.25 ,-0.64 ,-2.38 ,-0.24 ,"5,320.13 ","140,490.37 ",22.01 ,8.92 ,577.12 ,233.95 ,电力、热力生产和供应业,公用事业
120,600718.SH,东软集团,29.85 ,0.25 ,1.78 ,6.34 ,0.64 ,"8,033.44 ","231,725.04 ",12.28 ,8.37 ,366.44 ,249.87 ,软件和信息技术服务业,信息技术
121,601600.SH,中国铝业,9.46 ,0.25 ,-0.09 ,-0.94 ,-0.10 ,"59,198.28 ","567,609.59 ",135.24 ,40.02 ,"1,279.42 ",378.63 ,有色金属冶炼和压延加工业,材料
122,002065.SZ,东华软件,35.72 ,0.24 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,15.22 ,7.52 ,543.72 ,268.72 ,软件和信息技术服务业,信息技术
123,300070.SZ,碧水源,47.55 ,0.24 ,0.57 ,1.21 ,0.12 ,"1,829.71 ","86,113.45 ",10.70 ,5.29 ,509.00 ,251.50 ,生态保护和环境治理业,公用事业
124,600009.SH,上海机场,26.81 ,0.24 ,-0.21 ,-0.78 ,-0.08 ,"1,326.36 ","35,325.10 ",19.27 ,9.01 ,516.62 ,241.50 ,航空运输业,工业
125,600068.SH,葛洲坝,13.89 ,0.24 ,0.38 ,2.81 ,0.27 ,"39,792.12 ","557,342.94 ",46.05 ,26.71 ,639.60 ,371.05 ,土木工程建筑业,工业
126,600660.SH,福耀玻璃,16.20 ,0.24 ,-0.28 ,-1.70 ,-0.17 ,"5,865.70 ","94,059.84 ",24.43 ,12.88 ,395.71 ,208.68 ,非金属矿物制品业,可选消费
127,601998.SH,中信银行,7.89 ,0.24 ,-0.16 ,-1.99 ,-0.19 ,"17,447.37 ","137,195.37 ",467.87 ,29.66 ,"3,691.52 ",234.04 ,货币金融服务,金融
128,002465.SZ,海格通信,29.82 ,0.23 ,-0.01 ,-0.03 ,0.00 ,"3,215.43 ","95,903.33 ",9.98 ,7.08 ,297.46 ,211.04 ,计算机、通信和其他电子设备制造业,信息技术
129,600315.SH,上海家化,48.63 ,0.23 ,-0.84 ,-1.70 ,-0.16 ,869.96 ,"42,377.06 ",6.72 ,4.78 ,326.97 ,232.65 ,化学原料和化学制品制造业,日常消费
130,600583.SH,海油工程,14.85 ,0.23 ,-0.56 ,-3.63 ,-0.33 ,"21,245.27 ","316,933.79 ",44.21 ,18.45 ,656.57 ,273.95 ,开采辅助活动,能源
131,600839.SH,四川长虹,7.54 ,0.23 ,-0.15 ,-1.95 ,-0.18 ,"27,286.77 ","206,622.10 ",46.16 ,34.98 ,348.06 ,263.79 ,计算机、通信和其他电子设备制造业,可选消费
132,600893.SH,中航动力,54.25 ,0.23 ,2.58 ,4.99 ,0.46 ,"4,159.25 ","227,199.99 ",19.49 ,5.06 ,"1,057.18 ",274.49 ,铁路、船舶、航空航天和其他运输设备制造业,工业
133,601018.SH,宁波港,8.37 ,0.23 ,0.76 ,9.99 ,0.93 ,"39,851.22 ","315,225.82 ",128.00 ,31.41 ,"1,071.36 ",262.93 ,水上运输业,工业
134,601933.SH,永辉超市,11.77 ,0.23 ,-0.08 ,-0.68 ,-0.06 ,"6,316.22 ","74,628.20 ",40.68 ,17.32 ,478.75 ,203.84 ,零售业,日常消费
135,000009.SZ,中国宝安,21.09 ,0.22 ,0.16 ,0.76 ,0.07 ,"9,593.25 ","202,094.87 ",15.92 ,12.10 ,335.78 ,255.21 ,综合,工业
